가격,평점,채널,날짜,제품명,리뷰
"399,000",평점5,제이케이 구매대행,21.02.04.,다이슨 V7 플러피,차이슨 쓰다 고장나서 국내브랜드 구매후 결제까지했는데 설명받은사양이 아닌 한단계아래더라구요.그래서 취소하고 고민끝에 이상품으로 결정했습니다.결론부터말하자면..왜 그동안 고민했을까입니다.결제후택배까지 10일정도걸린것같습니다.최신사양이 아니라 은근 걱정도했는데요.2주정도 사용한지금 완전만족합니다.나름 깨끗하다고자부하는데청소기만 돌리면 아닌게 확인?되어져서먼지통 관찰하는게 일상이되어버렸네요.젤 좋은점은 역시 흡입력!!문틀에스툴을 바꾸지않고도 먼지랑 머리카락흡입이 짱입니다!청소후 물티슈로 문틀먼지 다시 청소하는번거로움이 사라졌구요.제가 먼지많은 이불을 덮고있었다는것도청소기덕에 알았네요.다이슨중에서도 플로피헤파 시리즈선택한것도 신의한수?였다봅니다.제가구매했을때보다 가격이 좀 올랐네요?환율때문이라 생각합니다.110v돼지코변환은 걱정거리가아니죠ㅋ너무감사하게 잘 쓰겠습니다.뽑기운이라고들하는데 저는 완전만족합니다.잘뽑힌것같습니다.다이슨다이슨하는이유는 써보니알겠네요^^*
"399,000",평점4,제이케이 구매대행,20.05.27.,다이슨 V7 플러피,첫날은 건부분을 누르면서 청소한다는게 여간 불편한것이 아니었습니다. 그래서 손가락이랑손도 아프고 손목도 무겁고 괜히산건 아닌가했는데 이튿날 방법을 찾았습니다  원래 붙어있던 노란스티커를 휘감아서 눌러지게한뒤 청소하니 훠얼씬 수월했습니다.다들 그렇게들 해보세요그러고나서 그다음날이 되니 기동성 좋아서 청소하기 수월하다는 생각이 들더군요.또 오른손으로만하니 무겁게 느껴졌습니다. 근데 무선청소기 다들어보니 무겁긴 매한가지 였어서 번갈아들며 간단간단하게 청소하기는 좋다 생각합니다.데일리로 쓰며 기졵의 유선 청소기는 주말한번 돌리기나 청소 빡세게할때 쓰면 될듯합니디다
"399,000",평점5,Neopeak,21.04.24.,다이슨 V7 플러피,"일단 문의내용 답변이 해외직구인데도 정확하고 신속해서 좋앗어요 다른데서 조금 저렴한곳이 잇었지만 as부담 한다구 써잇어서 믿고 주문햇습니다 말씀해주신 날짜에 정말 도착햇어요 휴일포함 약7일?제품은 정말 좋아요 허접한 물건 아니구요 박스도 다이슨 그대로 오네요  근데 비닐에 포장되어잇는거 말고는 톱밥???가루?먼지가 엄청많아요... 그 청소기 봉안에도 잔뜩잇어서 몇번돌리니까 먼지통에 쌓엿어요 이건 재고관리할때 먼지가 쌓이는거같은데,,잘모르겟지만 아쉬워요 봉안에를 물로 닦아야 할지 고민중입니다 흡입력은 맥스로해야 다이슨 다워서 맥스로 쓰고 배터리교체 빨리할까 생각중이에요 힘좋아서 다 빨아들이네요 포장에 먼지 부분만 해결되면 최고일것같아요"
"399,000",평점1,비사이드커넥트,21.09.06.,다이슨 V7 플러피,"플러피 새상품으로 주문하였으나, 구매 당일 제품 수급 문제로 앱솔루트로 상향해서 보내준다고 연락을 받았습니다안내 당시 마치 제품명인 것처럼 ""앱솔루트 리퍼블릭""(아주 빠르게 얘기함)으로 제품 상향해서 교환 진행해도 될지 물어보길래 그러라고 했고, 그 뒤 헤파필터 포함된 제품인지 확인하였는데 그렇다고 답변까지 받았습니다그런데 막상 물건을 받아보니 헐 ~리퍼 제품에, 헤파필터 미포함(국내에서는 별 필요도 없는 카페트 해드 하나 추가된 앱솔루트...)바로 판매자에게 문의해보니 자기는 잘못 없다, 사전에 모두 설명하고 진행했고, 우린 구매 대행만 해주는 업체로 고객이 제품에 대한건 모두 책임져야 한다...그래서 당시 헤파필터 포함 제품으로 안내받았던 녹음파일도 전송했으나 여전히 고객에게 모든 과실있다는 답변(어이없음)최초 쇼핑몰에서 확인한 제품이면 고객 책임이 맞겠지만, 리버제품에 대한 제대로된 설명도 없이, 또 제품에 대한 스펙도 확인 못하는 상황에서 모두 고객의 책임지라는 판매자에 많이 당황스럽습니다.그런식으로 잘먹고 잘사세요 ~"
"399,000",평점5,제이케이 구매대행,19.12.07.,다이슨 V7 플러피,주문은 11월 25일 월요일에 했고 수령은 12월 7일 토요일에 했습니다. 주문한 다음 날 부터 계산해보면 12일 만에 받았네요.해외 직구라는게 원래 오래걸리는거 감안하고 주문하는 거지만.. 기다리기 힘들었습니다ㅋㅋㅋ 판매자분을 원망하는건 아니구요...제품은 뭐 말할게 없습니다. 다이슨이 다이슨하다 라고 밖에 수식어가 없네요. 마감도 훌륭한 편이고 흡입력도 제 필요에서는 차고 넘칩니다.오래 기다리는 동안 오프라인으로 여기저기 다니며 110V -> 220V 변환 플러그를 찾아봤는데 찾기가 어렵더군요. 그냥 온라인으로 주문하려고 합니다.이 글을 참고하시는 분들도 그냥 미리 속편하게 온라인으로 플러그 주문해놓으시길 추천 드립니다.
"399,000",평점5,제이케이 구매대행,20.06.01.,다이슨 V7 플러피,"돼지코가 같이 도착안하고 다음날 따로왔더라구요ㅎ일단 저렴한 시중보다  가격에 만족하구요.배송은 직구니깐 늦는건 감안했구 소음은 드라이기보다 조용하던걸요.청소할때 굉장히 부드럽게 회전되고 선이 없어서 너무 편해요.모터가 있어서 위쪽이 살짝 무거운감은 있지만 유선통돌이 여기저기 끌고 다니는거보단 너무 간편해서 좋구 짧게 연결해서 여기저기 용도별로 사용하기 너무좋아요.베란다창틀, 침구, 천정등등..고장 안나고 오래 쓸수 있었음 좋겟네요. 구매한지 한달 넘었는데 지금까지 잘사용하고 있어요^^ 암튼 좋아요"
"399,000",평점4,제이케이 구매대행,20.05.31.,다이슨 V7 플러피,DC 모델 쓰다가 v7으로 바꿨습니다.  DC모델은 코스트코에서 당시 39만원이었던가 줬던 걸로 기억해요. 약 5년정도 쓰니 자꾸 어댑터가 고장나더라고요. 그래도 흡입력이나 편의성이 좋아이번에도 다이슨을 샀습니다.배송이 빨랐다는 평도 많았는데저는 오래 기다려서 별점 하나 뺐습니다. 제품 자체는 만족해요. 이번 제품도 어댑터가 금방 나갈까봐 걱정이긴 한데나중에 AS에 물어봐서 한국220V호환만 된다면 어댑터만 구입해볼까 합니다. 아~~v7은 소음도 전에 버전보다 많이 줄었고 흡입력이나 핸들링도 좋아졌더라구요. 만족하고 쓰고 있습니다.
"399,000",평점5,제이케이 구매대행,20.04.17.,다이슨 V7 플러피,"역시 명성다운 다이슨이네요.청소는 아주 잘됩니다.그리고 나사 못 없다는 글을 본 것 같은데 거치대 뒷면에 나사못 같이 보내주네요.차량 청소 겸 로봇 청소기가 못하는 틈새 청소하려고 구입했는데 기대 이상의 만족감을 주네요.청소툴이 총 5개가 있는데, 추가 청소툴은 필요 없을 만큼 구성도 좋습니다.거치대만 벽에 붙이면 앞으로 편하게 사용할 것 같습니다. 첫 구입후 풀로 충전해서 사용하라는 스티커가 있더군요. 먼저 테스트 하지는 마시고 2시간 정도 충전 후 테스트 하는 것을 권장드립니다.가격은 여러 쇼핑몰 중 가장 저렴한 것 같네요.많이 파세요."
"399,000",평점5,제이케이 구매대행,20.09.02.,다이슨 V7 플러피,"전에도 다른 모델의 다이슨을 사용했는데 가격대비 크게 만족하지못했었어요 힘은 쌨지만 힘만좋다고 잘 흡입하는건 아니더라구요..  그래도 여기저기 브렌드 찾아보다 다시 다이슨..ㅋ 신제품은 아니지만 가격도 괜찮고 소프트롤인것도 좋아서 구매했어요.. 첫날 사용하고 감동감동~  고양이가 사는집이라 바닥에 모래, 뜯겨진 퍼즐매트 쪼가리들.. 슥슥 지나가도 뱉어내는거 하나없이 다 흡입해주는데 기분이 너무 좋더라구요ㅋ 청소귀찮안는데 청소 자주, 꼼꼼히 하고싶게 만들어 주네여ㅎㅎ"
"399,000",평점5,제이케이 구매대행,20.04.30.,다이슨 V7 플러피,"4번째 청소기 구매라 굉장히 신중하게 선택하였습니다.동생이 v8을 사용중인데 v10을 사던지 국산을 추천했습니다. 청소해보면 알거라며,,어제 도착해서 오늘 아침에 사용해봤습니다.잘 빨아들입니다.소음도 제 기준에서는 괜찮습니다.잘빨아들여서 어 괜찮은데 ?하고 청소를 마쳤는데 바닥이 뭔가 아주 개운하지는 뭐 그런 느낌입니다.그래서 생각한게 일단 한번 청소하고 맥스로 한번 더 해주면 더 낫지 않을까 합니다.하지만 저는 이정도로 만족합니다.핸들링 좋고 무게감도 괜찮습니다.먼지통에 굉장히 많은 먼지를 빨아들였네요.앞에 다이슨 공청과 함께 자리했습니다"
