가격,평점,채널,날짜,제품명,리뷰
"248,000",평점5,나우홈,21.07.20.,2021년형디베아 차이슨 ALLNEW29000,"3년 반 정도 사용하던 일렉트*** 무선 청소기가 갑자기 고장나서 구매했어요. 비슷한 가성비 좋은 청소기가 너무 많았는데 스펙과 사용 후기들을 몇시간 동안 다 읽어보고 디베아로 구매했습니다. 제품 구성품에 문제없이 배송 빠르게 잘 도착했고 충전이 약간 되어있어서 거실 매트 부분에 바로 사용해보았어요. 흡입력: 3단으로 하면 제일 좋고 2단으로 해도 머리카락 등 잘 빨아드립니다. 사용하던 일렉트*** 청소기는 매트에서 정전기때문에 머리카락과 강아지 얇은 털이 정말 안 빨아들여졌는데 디베아는 정전기 없이 매트에서 잘 되서 너무 좋았어요.청소기 헤드, 바디 손잡이: 리뷰에서 보았듯 헤드가 양옆으로 잘 휘어지는 게 맞긴한데 저는 오히려 가구 다리나 물건들 근처를 지날때 부드럽게 휘어져서 훨씬 편했습니다. 직진할 때에는 중심을 잘 잡고 하면 많이 흔들리지 않았고 바디 손잡이쪽 무게도 손목이 안 좋은 팔로도 움직이기 수월했어요.소음: 작진 않지만 아주 크지도 않아서 우리 강지가 옆에서 따라다니네요.물걸레 키트: 예전부터 물 넣고 사용하는 제품들은 배수, 곰팡이등 문제가 많아서 사용하지 않아 메인으로 사용할 것이 아니라 물을 넣지 않고 걸레만 빨아서 장착하고 사용했는데 간단히 사용하기에 딱 좋았습니다. 매트에서도 잘 밀려요.먼지통 청소: 완전히 편하고 깔끔하게 톡 하고 떨어지진 않고 솔로 정리 좀 해주면서 털어줘야 해요. 필터만 세척되고 통세척은 안 되니 먼지 버리고 나서 뚜껑 바닥 안쪽에 붙은 먼지는 물티슈로 닦아주면 적당히 관리할 수 있을 것 같습니다.충전: 청소하고 2시간째 충전 중인데 거의 다 충전되어 간다고 초록 불빛이 깜빡입니다. 발열은 전혀 없어서 문제 없는 제품이 잘 온 것 같아요. 선으로 꽂아 충전하는 부분은 불편함이 있습니다.고가격 제품에 있는 스펙을 다 바라지 않는다면 이 가격대에서 가성비 좋은 무선 청소기네요. 디자인도 깔끔하고 성능이 괜찮아요. 전체적으로 아주 만족합니다."
"248,000",평점5,나우홈,21.04.30.,2021년형디베아 차이슨 ALLNEW29000,"1.디자인 : 비슷한 가격대 비교했을때 가장 세련되고 이뻐서 샀어요.2.사용성 : 조립스위치의 재질은 저가 생 플라스틱이여서 품질이 좀 떨어지기는하나 기능상 뻑뻑함없이 잘 조립됩니다. 바퀴 부드럽게 잘 굴러가고, 부드럽게 잘 꺾입니다.3. 무게 : 배터리와 모터 등 메인구성품들이 전부 손잡이 쪽에 있어서 무게감이 있습니다. 이건 구조상 어쩔수 없는 부분이라 판단되며 대신 거실장 아래 침대 밑 청소하기가 수월합니다. 무게감이 있다는 거지 결코 무겁지는 않습니다.4. 배터리 : 이정도면 배터리양은 충분한 듯 합니다. 다만 전용 충전 도킹이 없는게 좀 아쉽습니다. 디자인은 이쁜데 선 꽂아놓으니영.. 모양새가 안나오더군요.5. 흡입력 : 정밀하게 테스트 해본것은 아니지만 웬만한 집안 청소는 중간모드에 둬도 잘 됩니다. 여기서 오는 이점은 배터리도 오래 가고요. 6. 구성품 : 헤파필터 여분에, UV침구 키트 등 사용자가 필요한 구성을 잘 갖췄습니다.7. 아쉬운 물걸레키트 : 롤러 뒤에 부탁되어 진동기능이 있어서 쉽게 닦이는 구조인가 싶었는데, 그냥 물걸레입니다. 마찰이 어느정도 있기 때문에 힘이 필요합니다. 물이 마르지 않게 적당히 촉촉히 나오는 건 만족스러우나 힘줘서 빡빡 닦아야하는건 아쉽네요.총평: 디자인, 흡입력, 풍족한구성, 넉넉한 배터리 만족스러우나 부분적으로 마감의 퀄리티가 떨어지는점, 물걸레 힘 줘서 닦아야 한다는 점 이 아쉽습니다. 그래도 이정도면 가격 메리트 있다 생각합니다."
"248,000",평점4,나우홈,21.07.01.,2021년형디베아 차이슨 ALLNEW29000,"일주일 정도 청소기만 찾아보다 이 제품을 최종 선택을 하게 되는데 처음에는 낮은 평점까지 상세히 읽어봤고, 만족하시는 분들도 많아 고민이 많이 되었습니다.가장 중요한 제품 선택 이유는 1. 과하지 않고 적당한 핵심적인 구성 품이라 좋았습니다.2. 청소기 스펙을 자세히 설명해두었습니다. - 단계 별 진공도, 사용 시간을 기재했다는 점.3. 모터의 출력과 정격 전압이 염두에 두었던 스펙과 거의 일치4.물 세척 가능한 13등급 헤파필터를 1개 더 준 점5. 과하지 않는 디자인과 가격6. UV물걸레, UV침구청소기장점 : 파워 모드로 24평 아파트 청소 충분하다.(에코도 나쁘지 않음), 침구청소 툴로 바꾼 후 파워모드로 이불 먼지 청소 했는데 놀랐다.(사진참고), 소음은 일반적인 듯하다. 무겁다는 생각은 안 든다. 청소기에서 배출되는 바람을 맡게 되었을 때 불쾌감은 없었다. 흡입력은 스펙대로 괜찮네?오~ 이런 느낌입니다. 물걸레 툴은 아직 사용 전 이라 모르겠습니다. 물걸레 관련은 한 달 사용 후기에 올리겠습니다.단점 : 약간의 유격이 있지만 기계적 오차 때문이겠지...합니다.. 문제될 만큼의 유격은 아니라 생각됩니다. 헤드가 너무 부드럽습니다. 전 후진은 부드러워 좋은데 좌우 회전 시 너무 부드럽습니다. 조금만 뻑뻑했으면 어땠을까 합니다. 좀 더 사용해 봐야겠지만 이 정도 단점이면 조금만 양보하시면 좋은 기능을 맛보실 수 있을 듯합니다. ?하루 사용 후기 이지만 고생한 만큼 매우 만족했습니다."
"248,000",평점4,나우홈,21.08.17.,2021년형디베아 차이슨 ALLNEW29000,택배 포장상태 깔끔함 주말이 껴서 좀 오래 걸렸지만 만족 청소기 돌려보았는데 기본 헤드가 너무 부드러워서 핸들링 연습이 필요할거 같다. 에코는 거의 안쓸거 같은 흡입력 그래도 가벼운 먼지 정도는 괜찮다. 노말을 제일 많이 쓸거같다 흡입력도 나름 괜찮은 수준 좁은 우리집 다 돌리기에도 배터리 유지 마지노선 단계 정도이지 않을까 싶다 하이퍼 단계는 10년 된 우리집 유선청소기 중간 모드 정도거나 그 좀 밑정도 될거같다 (역시 유선따라 갈려면 멀었다)거치대도 같이 삿다 필요 할거같아서 거치대는 절대로 사지마라 먼가 잘못도ㅣ도 한참 잘못됐다 우선 청소기 용도별 헤드를 3개 꽂을수 있는데 헤드가 커서 겹치는데 겹치는거 때문에 거치를 할수가 없다 거치를 할수없는데 무슨 거치대냐 청소기만 놓을수 있다고 보면 됀다. 침구uv 브러쉬 좋다 내침대에 먼지가 이리 많은줄 눈으로 보여준다 ?? 물걸레 브러쉬도 삿다 이것도 써봤다 편하긴 한데 손걸레로 닦는거보다 드라마틱하지는 않고 가볍게 닦는 수준 정도 인거 같다 (단계는 노말로 함)전체적으로 디자인은 깔끔하고 디스플레이가 있어 좀더 스마트 해보이고 헤드나 막대를 결합하는 부분은 결합후 틈이 살작씩 있어서 조금 아쉽다대체적으로 가격대비 만족
"248,000",평점5,G마켓,21.08.29.,2021년형디베아 차이슨 ALLNEW29000,전에 디베아 3년전쯤 써봤는데 그청소기는 그냥 딱 쓸만한정도의 흡입력이었는데고장이나서 이번에 새로 구매를 하려고 알아보니까 이청소기 추천을 많이 해주시더라구요그래서 이번에도 디베아로 구매를 했어요별기대는 안했는데 오고나서 충전시키고 처음 가동해봤는데 흡입력이 정말 장난이 아니네요전에꺼는 설명에 나온것처럼 흡입력이 좋지않아서 실망을했었지만이거는 대박입니다 아주 쌩쌩 잘돌아가고 무선청소기가 이렇게 흡입력이 강하나?이런 생각이 들더라구요 정말 다이슨이랑 비교해도 손색이 없을정도로 강해요물론 디자인도 너무너무 이쁘고!! 특히 침구청소기 너무너무 좋습니다항상 이불빨래 잘못할때는 신경쓰였는데 이청소기로 침구류 청소했는데 아니 ... 이렇게나 많은 먼지들과 이물질들이 나올줄은 꿈에도 생각못했네요 그리고 uv램프 효과는 있는지는 잘은 모르겠지만없는거보단 물론 효과는 크겠죠!!! 이제 청소할맛 납니다!!단점은 정말 없지만 가장 썌게 틀면 배터리 소모가 빠르다는점? 그치만 한번 충분히 청소할만큼 용량은 되니걱정 안하셔도 됩니다! 꼭 꼭 사세요 가격도 저렴하고 가성비 너무좋아요! 그리구 한손에 딱 들기 좋은 무게입니다!
"248,000",평점4,하이마트쇼핑몰,21.05.19.,2021년형디베아 차이슨 ALLNEW29000,"기존 디베아 모델을 가족들이 먼저 사용하고 있어서 체험을 먼저 했었습니다. 그런데 색상이 요란하고, 밧데리 수명이 짧아서, 고심끝에 유선제품으로 계속사용하다가, 반려견을 키우면서, 청소를 자주 해주어야 하는데, 유선은 아무래도 불편하더라구요. 그래서, 망설이다가, 디자인도 마음에 들고 해서, 구입했습니다. 기존 디베아 모델과 비교하자면, 무게감도 비슷하고, 흡입력도 비슷합니다.(20만원대 모델들) 디베아 제품은 물걸레키트가 있는데 이게 참 유용하더라구요. 오전에는 청소기만 저녁에는 물걸레키트랑 같이 청소하면 청소가 간편해져서, 청소시간이 짧아져서 좋아요. 다만 무선의 한계점 밧데리가 2년사용하면 제품이 고장나지 않는다면 교체해야 하고, 제품 고장나면 다시 갈아타야 하는 부문은 감내해야겠죠. 또한 기존 모델들과 비교했을때, 일반모드로 청소했을때, 밧데리 소모가 좀 심한편인것 같아요. 방3개 정도 청소하는데, 기존 모델은 반정도 소모해서, 저녁에 충전안하고 사용가능한데, 이 제품은 방3개 15분 사용했는데 3개중 1개만 남더라구요. 새건데 이정도면 1년 지나면 충전문제가 좀 걱정은 됩니다. 그리고, 봉부분이 결합시 약간 틈새가 벌어지는데 청소할때 약간 흔들린다고 해야 하나, 단단한 느낌이 없어 조금 아쉽습니다. 마구 흔들린다는 건 아니지만 살짝 뜬부문이 이음새이다보니, 흔들거림이 조금 느껴지더라구요. 다음 모델은 밧데리 수명을 늘리는게 관건일듯 합니다. 흡입력은 밧데리 성능이 좌우하는것 같아요. 그리고 충전시간이 긴편이에요. 기존 모델은 거의 방전시 2-3시간이면 충전이 끝났는데 이 제품은 3-4시간정도 걸려요. 아무래도 밧데리는 추가여분으로 구매해서, 같이 사용해야 할듯 합니다. 그럼에도 유선보다 소음도 작고, 흡입력도 좋아서, 앞으로도 무선청소기로 계속 구입해서 사용할듯요. 그때는 밧데리 성능이 부디 길어지기를 바래봅니다. "
"248,000",평점5,옥션,21.11.15.,2021년형디베아 차이슨 ALLNEW29000,장점1.디베아 차이슨 ALLNEW29000의 가장 큰 장점은 배터리가 분리된다는 점입니다. 이 제품을 사용하는 분들 중에는 배터리가 분리되는 장점 때문에 선택한 경우가 많다고 합니다.2. 기존 것보다 흡입력이 더 좋아졌어요. 그만큼 소음이 커지기는 했지만 이 부분은 흡입력이 늘어남?3. LED 램프가 있어 구석에 박혀있는 머리카락과 먼지도 잘 보이고 빨아들이는 것도 보여요. 4. UV 침구 브러시로 살균까지 되니 더욱 청결하게 관리5. 깔끔한 화이트 톤의 디자인 저희집안 인테리어랑 잘어울려요.?6. 다양한 브러시로 용도에 맞게 사용하는 편이성단점1. 손잡이 부분에 배터리가 장착되어 있어 유선에 비해 무게감이 있어요. ?2. 물걸레 청소가 생각처럼 깔끔하진 않네요.?3. 배터리 파워모드로 사용할 경우 시간이 단축됩니다. 금방 소모되는 느낌이에요.?4. 청소기 헤드가 날렵하지 않아 깊은 모서리 먼지까지는 잘 빨아들이지 못하는 것 같아요. ?5. 부속품들이 많이 있는데 한 번에 깔끔하게 보관할 수 있는 방법을 찾는다면 좋을 것 같아요.
"248,000",평점5,하이마트쇼핑몰,21.07.22.,2021년형디베아 차이슨 ALLNEW29000,기존에 로봇청소기를 사용하고 있어 로봇 청소기와 비교를 할 수 밖에 없네요.  샤오미로봇청소기를 사용하고 있었는데 혼자 알아서 해주지만 구석구석 사각지대는 청소가 안됩니다. 그리고 청소전 미리 집 바닥에 있는거 다 위로 올려야하고 집 정돈을 한 후에 청소기를 돌려아합니다.  또한 청소시간이 대체적으로 1시간 30분정도 걸리고 청소중 도중에 끼여서 못 나온다던지 턱 아래로 내려가서 청소중에도 몇 번씩 손을 보게 합니다.   그리고 청소 후 밧데리를 충전하기 위해 찾아갈 때도 한참... 걍 내가 하고말지 하는 생각이 들 때가 많아 다시 이 제품을 구입하게 되었습니다.  일단 디자인 깔끔해서 맘에 들었고 빠른 배송도 아주 좋았습니다.   파워도 강력해서 첨에 침구 및 소파청소부터 했는데.... 헐 이라는 소리가 절로 나오더라구요... 이불이랑 매트랑 소파 청소한지 얼마되지도 안했는데.... 나도 모르는 먼지가 많아 놀랐습니다. 집 청소도 대체적으로 만족도 하여 잘 샀다란 생각을 했습니다. 단점은 헤드 부분이 너무 잘 돌아가 이 부분은 고쳐야 할 것 같습니다. 그리고 길이 조절이 되지 않는 점도 단점이네요   허리가 아파요 .... 그 외 파워라든지 디자인 밧데리시간 등의 면에서는 만족하고 사용할 수 있을 것 같습니다. 대체로 만족합니다. 
"248,000",평점4,하이마트쇼핑몰,21.09.20.,2021년형디베아 차이슨 ALLNEW29000,"어머니 유선청소기에서 무선으로 바꿔드리려고 알아보다고 요제품으로 선택했네요 최대 흡입력이 29000PA라고 하니 시중에 판매되는 청소기 대비 가장 강한 흡입력이라 고민고민하다 선택하게 됐네요 무게감은 생각보다 가볍진 않지만 유선청소기만 쓰시다보니 이정도는 적당하다 생각하고 나름 만족하시는거 같긴 하네요무엇보다도 가장 마음에 들어하시는건 걸레와 청소가 한꺼번에 된다는점구석구석 한꺼번에 회전되어 요령껏만 잘 쓰신다면 청소시간도 단축된다는점원터치 작동으로 버튼 한번에 누르면 작동 한번더 누르면 자동 꺼짐270도 회전하는 파워브러쉬로 자유로운 각도 조절이 되는 청소기 너무 자유로워서 잘 조절해서 써야 된다는점 익숙해지면 장점이 되겠죠 ㅎ각종미세먼지, 진드기 눈에보이지 않는 물질까지 청결하게 위생적으로 좋으네요 선명한 엘이디 디스플레이로 배터리 잔량과 청소기 상태를 간편하게 확인가능하니 스스로 청소기 상태를 알수 있으니 편리하네요 기본구성이 너무 좋아서 상황에 맞게 청소할수 있으니 너무 만족스러워 하시네요구성품 가성비 대비 굉장히 우수해서 디자인 흡입력 너무 만족해시 하시니 저도 뿌듯하네요^^ "
"248,000",평점5,나우홈,21.10.25.,2021년형디베아 차이슨 ALLNEW29000,일단 저는 22000모델과 한참 고민을 했는데요 비교했을때 차이점이 어떠냐고 문의드렸던 때에 굉장히 빠른 답변으로 명료하게 답을 얻었어요일단 디스플레이가 돼서 배터리잔량과 모드를 눈에 띄게 확인할 수 있다는 점과 흡입력이 좀 더 강하다는 점 그리고 정말예쁜디자인 물론 22000도 이쁘지만 블랙앤화이트가 제 맘엔 쏙 들었어요 가격도 합리적이구요!오래 심사숙고 한 뒤에 구매한 바로다음날 만원 할인행사한건 넘나 맴찢이지만ㅠㅜ그건 운이 나빳던걸루...아무튼 지금은 메인청소기만 사용 한 상태인데 배터리가 조금 충전되어 와서 바로 작동확인하는 점도 좋았고 제품에 자부심을 가지고 운영하는 기업이라는게 눈에 띄게 보여서 고장이 나더라도 맘놓고 연락드릴 수 있다는 안도감이 드는 것 같아요. 무튼 실사용 조금 더 해보고 한달후기로 또 작성해보겟습니다 번창하세요~~~~~~!
