,가격,평점,채널,날짜,제품명,리뷰
0,"36,890",평점5,보만코리아,20.05.30.,보만 VC7210,가격대비 성능 짱인것 같아요자취방에서 3개월정도 사용하려고 구입했어요그래서 너무고가는 부담스러웠는데요제품이 가격도 괜찮고   후기도 좋더라구요역시 후기가 좋은 상품들은 구입후 만족도가 높네요소음이 심하다고 했는데 제기준에서는청소할때이정도 소음은 뭐 저는 당연한것같구요 ᆢ 물론 소리없이 강하면  금상첨화 겠지만요ㆍ흡입력 정말 짱짱하네요 머리카락 먼지가한웅큼 헉 내방이 이렇게 지저분했었나 싶네요여러가지도구들이 있지만저는 좁은방이라그냥 도구 틀 없이 쓰는게 제일 속시원하게사용감이 좋네요
1,"36,890",평점5,보만코리아,19.10.08.,보만 VC7210,"일단 배송빨랐어요. 박스포장도 깔끔해요.원룸에 청소기가 필요해서 구입했어요. 싼거 찾아보다가 가격도 너무 좋고 평도 좋아서 믿고 구입해봤어요~사실 너무 싸서 좀 걱정했는데 흡입도 잘되고 좋아요. 주로 머리카락청소에 쓰일것 같은데 잘흡입하고 필터갈기에도 편하게 내부에서 엉키지 않는 것같아요. 다만 아쉬운점은 청소기를 길게 쓰고싶을때 직접 연결해야하고, 가장 길게 쓰고싶을때는 두개의 기둥을 연결해서 써야해서 조금 불편해요. 하지만 가격생각하면 그정도의 불편함은 넘어가야할 것같아요^^ 브러쉬도 여러가지 들어있어서 좋구요. 하루밖에 안써봤지만 만족합니다!"
2,"36,890",평점4,11번가,19.11.04.,보만 VC7210,가격 디자인 모두 마음에 들어요..무게도 많이 무겁지 않고 사용법도 스위치만 켜면 되니까 간편해요..○ 단점     1. 시끄러워요.. 기존에도 비슷한 스타일의 청소기를 썼는데 그것보다도 시끄럽네요.. 어느정도의 소음은 감수해야겠지만 중간 이상의 소음이 느껴지네요..     2. 충전완료 램프가 없어요.. 설명서에도 있지만 충전이 완료가 되어도 충전램프는 그대로라는거~ 충전이 다된건지를 모르니 오랜시간 충전하는수밖에 방법이 없네요..    3. 이것도 단점인지 모르겠지만 충전거치대와 충전아답터가 일체형이네요.. 별도의 연결잭이 있는게 아니랍니다..
3,"36,890",평점5,바디퓨,20.06.25.,보만 VC7210,"집에 30만원짜리 삼* 청소기를 쓰다가 본체가 잘 따라오지도않고 무겁고 문턱에서 쿠당탕거려서 서브청소기를 찾다 구매하게 됐어요 이거 산 후로 이것만 씁니다 ｦｦ 진짜 좋아요 힘 없는 저도 한 손으로 들고 댕깁니다 36평 집도 이거 하나면 청소 금방이에요 흡입력은 또 얼마나 좋은지 장난아니에요 쓰던 청소기는 거실 마루 바닥에서만 잘 굴러가고 방 장판에서는 딱 달라붙어서 밀기 힘들었는데 요아인 마루 장판 안가리고 부드럽게 밀려요ㅎㅎ 보만은 보풀제거기, 핸드스팀다리미로 여러번 만족스러웠는데요 이번에도 대만족입니다 소음도 윙~~~!아니구 움~~~하며 듣기 괜찮은 정도입니다 너무좋아ㅠㅠ 번창하세요♥️"
4,"36,890",평점4,보만코리아,21.03.11.,보만 VC7210,청소기 오자마자 써봤어요조그만게 핸디용으로 먼지 시원시원하게 잘빨리고 좋아요다이슨쓰고있는데 넘나무거워 청소하고나면 팔아픈데 이건 가벼우니 막대꽂아서 매일 가볍게 쓸수있어 좋긴한데 ㅎ 헤드가 뻗뻗하긴하네요 핸들링을 이 가격에 기대하면 안되긴하겠죠ㅎ가성비 최고인거같아요디자인도 나쁘지않구요다만.. 솔 꺼내는데 파마 머리카락이 껴있었어요그게하나 기분나쁘네요반품상품이었나봐요 검수좀하시지..물건 하자는없고 반품 교환 귀찮아 쓰렵니다만 찝찝해요
5,"36,890",평점5,11번가,21.11.02.,보만 VC7210,동생이 써보고 추천해서 구입했어요. 냥님들이 세분이라서 모래 청소하려고 샀는데 성능이 짱이어서 하나 더 구입하려고 바로 들어왔다가 좋은건 입소문 내야 하기에 리뷰 씁니다. 무선청소기와 유선 청소기 다 있는데 무선은 가격대비 제 기능을 못하고 유선은 무거워서 여기저기 끌고 다니기 힘들고 집 청소 하려면 콘센트를 2번은 옮겨 꽂아야 하는데이 모든 고민을 다 해결해주는 보만청소기너무 좋네요. 가벼운데 은근히 흡입력이 좋아서 거실 카펫용으로 하나 더 구입합니다. 회사 보만이 더 번성했으면 하는 바람입니다. 더 좋은제품 기대하겠습니다.
6,"36,890",평점4,보만코리아,19.10.05.,보만 VC7210,"오~듣던대로 흡입력 짱짱!합니다 장판이 들썩들썩~구성품도 알차고 일단은 세워서 거치할수 있는 충전독이 맘에 듭니다~앞에봉들은 연결하니 어지간한 스틱 청소기 처럼 늘어납니다~다만 연장관이 있어서 흡입력은 조금 줄지만~머리카락 과자부스러기 등등은 다~빨아들입니다 이가격에 다""""슨을 바라면 안되겠지요?^^;;별하나를 뺀이유는 갖고있던 다른 녀석이3만에 사망해서 청소기가 급히 필요했는데...이틀이 지나도 배송이 안오니 구매취소했는데 그찰나에 배송이 왔더라구요 저는 이미 다른 석을 구매 했는데...ㅠㅠ반품 하려다 그냥 이녀석은 아들방에 쓰는 용도로 사용하려 합니다~추후에도 이점은 판매자측에서 신경을 써주시면 감사하겠습니다~일단은 디자인도 그렇고 이가격에 미니 무선 청소기는 정말 보만이 갑인것 같네요~^^"
7,"36,890",평점4,보만코리아,20.10.01.,보만 VC7210,구성품도 있을건 다있고 이모저모 가격대비 완전 좋아요!! 가격이 저렴하다보니 좀 튼튼해보이지는 않는데 그래서 가벼워서 좋더라고요ㅋㅋㅋ 집에 이미 메인으로 쓰는 무선청소기가 있고 그냥 서브로 사용하려고 샀는데 요새는 보만꺼에만 손이 가더라고요ㅎㅎ 집에 성인들만 있고 하루에도 여러번 청소기를 사용하다보니 사실 엄청난 흡입력 같은 제품력이 크게 필요하지않았거든요 그래서 오히려 어딘가 부실해보이는 가벼움이 엄청난 장점으로 다가오더라고요. 헤드부분이 유연하지않아서(바뀌가 자유롭게 움직이지는 않아요ㅎㅎ) 자꾸 벽에 걸리고 어디 걸리고 하긴하는데도 가볍고 흡입력도 나쁘지않아서 사용하면 할수록 진짜 대만족입니다!! 근데 충전시 다 된건지 아닌지 알 수 없다는 점이 아쉬웠었는데 막상 며칠쓰다보니 생각보다 큰 단점은 아니었지만 처음에는 좀 당황했었네요😅😅
8,"36,890",평점5,보만코리아,20.05.06.,보만 VC7210,"몇 년동안 유선 충전기를 썼는데 줄이 너무 불편해서 무선을 찾아보다 저렴한데다 리뷰가 좋아서 사봤어요!!! 1. 가벼움일단 무선인데다 가벼워서 너무 편해요. 청소기 헤드가 부드러워서 밀 때 막히는 부분없이 잘 밀려요!! 한손으로 청소기를 쓸 수 있을 만큼 가벼워요! 2. 구성청소기의 브러쉬도 종류 별로 많아서 사용하기 좋아요. 청소하면서 소파나 책상 밑에 청소기 사용하기가 불편했는데 구석구석 청소할 수 있어서 정말 좋아요. 제일 작은 브러쉬로 노트북과 같은 기계 먼지 털 때도 쓸 수 있어서 좋아요!3. 디자인, 크기깔끔한 검정색이여서 떼도 안타고 호불호없이 잘 사용할 수 있을 것 같아요. 청소기가 크지 않아서 사용하는데 불편함없어요. 충전기 크기도 작아서 보관하기 유용해요~"
9,"36,890",평점5,보만코리아,20.09.24.,보만 VC7210,처음엔 삼x 무선청소기로 구입하려다가네이버쇼핑에 검색해봤는데 이게 리뷰도 많고 후기도 엄청 좋길래 구매해봤어요!키트라고 해야하나 용도에 맞게 다양한 형태로 사용할수 있어 좋았고길게 연결하는거 연결하면 흡입력 약해서 청소 안되는거 아닌가 했는데 청소 엄청 잘돼요 !!!!원룸에 무슨 청소긴가 했는데 보이지 않는 먼지나 부스러기까지 빨아들여주니까 너무 좋아요 ㅠㅠ 왜 이제샀나 싶어요다른분들이 쓰다가 고장나서 같은 제품으로 재구매했다는 후기들 보고 이 제품으로 산건데저도 정말 만족해요 !! 고장나면 재구매하고싶을만큼!
10,"36,890",평점5,보만코리아,19.09.03.,보만 VC7210,"흡입력 되게 좋아요!처음에 받았을때는 온전히 충전된 상태가 아니라서 흡입력 안좋다고 했는데 저는 충전 전도 아주 만족이었어요소리도 이 정도면 참을만 합니다머리카락이나 먼지같은 것은 완전히 잘 흡입해요다만 머리카락은 먼지통에 돌돌 말려서 빼내기 쉬운데, 먼지는 필터에 딱 붙어서 손으로는 잘 빼기 힘들어요 날 잡고 물로 씻어 내리는 편으로 해야겠어요일부러 필터 청소 문제로 헤파필터 선택 안했는데 헤파필터는 먼지가 손으로는 더 잘 안 떨어질 거 같아서 잘 한 선택인거 같습니다먼지 빼내기만 수월해진다면 더할 나위 없이 좋을것 같습니다가격대비 매우 만족입니다 자취생 분들께 강추합니다"
11,"36,890",평점5,보만코리아,20.05.28.,보만 VC7210,예전부터 머리카락이나 먼지때문이라도 청소기를 구매할 생각이 있었는데 요즘 미세먼지가 다시 심해졌다는 기사를 보고 사기로 마음먹어서 찾아보다가 보만 청소기가 리뷰도 많고 후기도 좋아서 믿고 사봤어요~ 유선청소기만 사용해봤었는데 선때문에 골치아팠던적이 한두번이 아니었어요 ㅠㅠ 근데 이번에 무선청소기인데도 흡입력도 좋다고해서 구매해서 사용해봤더니 머리카락이나 먼지 진짜 깔끔하게 없애주더라구요 저는 컴퓨터 본체에도 사용해서 쿨러팬에 있는 먼지도 제거해주었어요 ㅎㅎ 청소기 헤드도 다양한 구성으로 되어있어서 바닥 침구류 책상과 천장 등 여기저기 다 쓸수 있어서 너무 좋더라구요 공간 차지도 안하다보니 앞으로도 정말 오래 애용할 것 같네요 추천드려요~
