,가격,평점,채널,날짜,제품명,리뷰
0,"107,160",평점3,VIVRE KOREA,19.11.15.,비브르 A9 PLUS,"댕댕이 털갈이 때문에 구입했어요.한 달 사용해본 결과, 흡입력이 약하고 사용시간이 짧은 것도 아쉽구요. 무엇보다 소리가 너무 커서 청소할때마다 스트레스 받네요.가격 생각하면 그냥저냥이라 위로합니다."
1,"107,160",평점1,VIVRE KOREA,19.09.04.,비브르 A9 PLUS,정말 별 한나도 아까운 청소기에요 흡입력도 약하고 고양이 두부모래 다시 뺏어내고 2단은 바로꺼지고 한번교환했는데도 또그러네요 앞에 해드부분도 돌아가지않아 아주불편합니다 버리고 다른거 삽니다
2,"107,160",평점5,VIVRE KOREA,19.08.28.,비브르 A9 PLUS,"가성비 짱이네요.요즘 댕댕이 털 갈이 시작되어 고민하다 구입했구요.도착하자마자 돌려보니 너무 잘 됩니다.가벼워서 이동하기도 좋구요.좀 약한듯한 거치대가 아쉽긴 하지만, 효용성은 좋아요."
3,"107,160",평점5,VIVRE KOREA,20.03.22.,비브르 A9 PLUS,"일단 빠른 배송에 감동했구요!! 좋지 않은 후기들도 있어서 긴가민가하면서 구매했는데, 와우~ 가격대비 성능 굿입니다. 가볍고, 소음도 나지 않고, 빨아드리는 것도 약하다는 생각은 안드는데요. 잘쓰겠습니다."
4,"107,160",평점5,VIVRE KOREA,19.06.24.,비브르 A9 PLUS,가성비 대박이에요. 맘카페에서  좋다고 말이 많아서 검색하다 구입했는데..가볍고 필요할때마다 바로 꺼내서 쓸 수있고 흡입력 좋아서 만족스러워요ㅎㅎ  친정집에도 한 대 사드리고 싶네요
5,"107,160",평점5,VIVRE KOREA,19.06.20.,비브르 A9 PLUS,말로만 듣던 차이슨 ㅋ 진짜 가성비 갑이네요. 배송도 빠르고 흡입력도 짱이예요..기존에 쓰던 무선청소기가 힘이 딸려서 차이슨으로 구매했는데요..오자마자 바로 써봤네요..깔끔하게 청소되는것같아 기분까지 상쾌해져요~^^3
6,"107,160",평점4,VIVRE KOREA,19.07.28.,비브르 A9 PLUS,무게가 살짝 나가지만  청소기 헤드에 불이 나와서 먼지가 잘 보이고 분리 조립하기 쉬워요. 흡입력도 가격대비 괜찮고요. 이정도면 굉장히 만족합니다. 앞으로도 고장 안 나길 바랄 뿐입니다.
7,"107,160",평점5,VIVRE KOREA,19.07.11.,비브르 A9 PLUS,"소리가 작아서 힘이 없나~~했는데 먼지며 머리카락도 잘 빨아드리네요!제뜨,지로,이슨이 막 비교하며 다니다가 비브르로 득템했어요!!좋은제품 만들어 주셔서 감사드려용^^**"
8,"107,160",평점5,VIVRE KOREA,19.12.13.,비브르 A9 PLUS,처음에 메인 솔이 안 돌아가서 교환요청했는데 빠르고 친절하게 잘 도와주셨어요. 지금은 매우 잘 사용하고 있습니다. 흡입력도 좋고 구성이 다양해서 패브릭쇼파 청소까지 편하게 해요 ^^
9,"107,160",평점2,VIVRE KOREA,19.09.11.,비브르 A9 PLUS,후기보고 샀는데...생각보다 힘이 없어요...찌꺼기들이 회전솔안에서 헤매다 전원끄면 다시 나오기도 합니다...한달도 안돼 2단계 누르면 1초간 윙하다 전원 나갑니다... as문의해야하는데 귀찮아 미루고 있네요..
