가격,평점,채널,날짜,제품명,리뷰
"32,710",평점1,아비소,21.10.11.,신일 싹쓸이 SVC-680G,참...사람 욕심이란게....첨엔 그래 머리카락만 잘 빨아들이몀 된다 생각했는데..그냥 돈 더 주고 좋은걸 살걸 그랬나 싶어요 얼마 사용하지도 않암ㅅ는데 힘없어하는 이 친구를 볼때면..참 안쓰럽습니다.충전이 안돼서 휴지한장 머리카락 한올 빨아들이는거 힘들어하는 모습보몀....하아...충전을 자주 해주셔야해요전 재구매의사 없습니다.
"32,710",평점4,G마켓,21.08.02.,신일 싹쓸이 SVC-680G,아이들이 지우개 찌꺼기 진공청소기를 산다기에 알아봤더니책상용 진공청소기도 성능이 쓸만하면 꽤 비싸더군요.조금 더 투자해서 이제품으로 구입했는데 모두 만족입니다.책상 청소할때는 작은 흡입구를 하나 더 끼워서 쓰면 딱 좋구요.저도 바닥청소 잠깐씩 할 때 잘 사용합니다.단점이라면 모터가 약하다고 해야할까요? 10분이상은 사용할 수가 없더군요.이 청소기로 자동차 청소도 도전해 보려고 했는데 그건 안될 것 같아요.그래도 집에서 잠깐씩 쓰기에는 참 좋습니다.특히 책상용으로 진공청소기 사시려던 분은 이걸 쓰시면 더 만족하실겁니다.
"32,710",평점4,아비소,21.07.30.,신일 싹쓸이 SVC-680G,"머리카락용으로 구입했어요머리말릴때 머리카락이 너무 많이 빠져서휴지뽑아 손으로 쓱쓱 훔치다가넘 귀찮아 져서 알아보다 구입합니다.저렴한가격 가벼운무게 쓱쓱 머리카락용으로 딱이예여 제품받고 처음엔 흡입력도 약한거같고 실망했는데 3,4일 쓰다보니 딱이네여 화장대옆에 설치하고 머리말리고나서 쓱 빠르게 쓱 한번 훔쳐줍니다 좋아용"
"32,710",평점5,옥션,21.08.10.,신일 싹쓸이 SVC-680G,배송은 빠른편이구요 상품도 마음에 들어요 가격이 왔다갔다 하네요 다행히 쫌 더 저렴할때 구매했어요 오자말자 충전했네요 처음에는 20시간 충전해야 한다고 해서요 눌려보니 성능도 좋네요 소음은 있어두 이정도면 괜찮은거 같아요 대만족입니다 이상품 적극적으로 강추합니다^^
"32,710",평점5,아비소,21.01.02.,신일 싹쓸이 SVC-680G,전에도 신일 싹쓰리 5년정도 써서 이번에도 신일꺼로 구매했어요.그때보다 힘도 쎄지고 디자인도 세련되어서고급스러워보입니다.다만 지지대가 너무 약해서 바닥에 놓구 쓰기엔불편하네요 .좀 안정감이 있음 좋았을건데 아쉽네요
"32,710",평점2,아비소,20.11.15.,신일 싹쓸이 SVC-680G,핸디청소기 처음 써본게 아닌데 이 제품은 추천하지않아요. 소음도 뭔가 미묘하게 거슬리고요(다른 비슷한 가격대 핸디청소기 소음보다 머리가 아파요) 충천하는 것도 플라스틱에 허접..하고...반품하려다가 제품 이상은 아닌것같고 판매자분께서 빨리 잘 보내주시고 그래서 뭔가 죄송하기도해서 걍..대충 일년쓰고 바꿀 예정입니다. 흡입력은 괜찮습니다.
"32,710",평점5,옥션,21.08.07.,신일 싹쓸이 SVC-680G,기존에 쓰던 청소기도 신일미니무선청소기로 쓰다가9년가까이 오래써서인지 흡입력이 약해져 서구입했어요.써보니 흡입력이 좋아요.머리카락도 흡입이잘되네요.저렴하게 잘 구입했어요.기존에 쓰던거보다 자리차지도않고간편하게 쓸수있어서 좋아요.
"32,710",평점1,G마켓,21.09.01.,신일 싹쓸이 SVC-680G,두번정도 충전했는데 충전연결된 접착 부분이 빠졌어요. 일반 청소기처럼 아답터 직접연결도 아니라서 첨부터 너무 어이없었는데두번사용하고 접착부위가 그렇게 된거보니까 이거무슨 일회용인가 싶네여고객센터 전화했더니 수리점으로 전화하라고 돌려서 수리점에 전화하니 기사라는 양반이 공장전화번호 알려줄테니 거기 부품있으면 사던지 없으면 그냥 버리라고 하네요 ㅋㅋㅋㅋㅋㅋㅋ제 잘못이니 저보고 알아서하래요 ㅋㅋㅋㅋㅋㅋㅋ즁궈 직구보다 백배 더 쓰레기 팔면서 당당하네여남은평생 이 브랜드와 이 판매자 제품은 구매할일 없어요
"32,710",평점4,옥션,21.01.21.,신일 싹쓸이 SVC-680G,"배송 빠르고, 파손없이 잘 왔네요.흡입은 나쁘지 않고, 소음도 크지 않습니다.흡입구 고무판이 사용후 밀봉되지 않아 자칫 모아놓은걸 흘릴 가능성도 있네요. 많은 양을 청소하지는 않으니 그건 패스합니다.필터 분리후 충전지가 그대로 노출되던데 마감을 신경 써야 할 부분인듯 합니다."
"32,710",평점5,아비소,20.08.12.,신일 싹쓸이 SVC-680G,예전에 이 브랜드 빨간색을 쓰다가 다른 미니 청소기로 바꿔서 썼는데 입구가 둥그래서 불편하더라고요.쓰던게 약해져서 다시 이 브랜드로 바꿨어요.따로 장착을 안해도 입구가 뾰족해서 구석구석 청소하기 정말 편해요.전에는 눕혀서 충전하는거였는데 세우는걸로 바뀌었네요. 자리 차지 안해서 좋아요.가성비 좋아요. 만족합니다~
"32,710",평점4,아비소,21.02.03.,신일 싹쓸이 SVC-680G,거치대가 벽에 못을 박아서 설치를 해야 하는 가벼운 플라스틱이네요? 이거 쓰겠다고 누가 벽에 못을...고정을 안 하면 사용이 불편하고(가벼워서 움직임) 전에 쓰던 무궁화 꺼는 거치대가 약간은 묵직해서 꼽을 때 안정감이 있었거든요. 참고하세요!
"32,710",평점4,아비소,21.01.11.,신일 싹쓸이 SVC-680G,이 가격에 이 정도면 매우 준수하다고 생각합니다. 다만 네이퍼쇼핑 정보란에 적혀있던 충전시간과 사용시간이 설명서에 적힌 것과 다르더라구요. 실제로 충전시간은 더 길고 사용가능시간은 짧습니다. 그 점을 감안해도 일단은 가격대비 좋은 소비였다고 생각합니다.
"32,710",평점5,세신 라이프,20.07.18.,신일 싹쓸이 SVC-680G,예전에 이 모델과 다른 신일 핸디청소기를 썼었는데 5~6년 쓰다보니 흡입력도 약해지고 사용시간도 점점 짧아져서 교체했습니다. 훨씬 가볍고 날렵하니 좋네요. 일단은 흡입력도 괜찮습니다. 신일제품에 대한 신뢰가 있어 재구매 합니다. 오래 오래 건강하길 바랍니다. ^^
