가격,평점,채널,날짜,제품명,리뷰
"775,970",평점5,보다쇼핑,21.11.01.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,"주문하고 3~4주 걸릴수있다고 안내전화받고 기다렸는데 10일만에 배송된다고 lg기사님 연락받았지만 토욜집에없어서 월요일인 오늘 바로 받았네요안내받았던 기간보다 일찍받아서 좋았구요기사님도 친절하게 설치, 설명해주시고 가셨네요집안 색상이랑 맞춘건데 하~ 넘나 이뿐것 ㅋㅋ무선처음인데 세상 편하네요^^단점이라면 살짝 무겁다는것~!!소리도 작고 부드럽게 잘밀려요비움할때 소리가좀크지만 금새비워져서 좋구요이번 이사하면서 엘지로 다 바꾸면서 청소기는 구지;;라며 안했던게 ㅜ ㅜ 이제라도사서 좋으네요"
"775,970",평점3,신세계TV쇼핑,21.11.05.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,일단 배송이 한달 걸렸어요.. 삼성비스코프 청소기에 결함이 있어서 반품 처리 하고 바로 올 줄 알고 보냈는데 엘지 청소기 기다리다 성질만 나뻐졌어요ㅜ ㅜ. 일수불로 카드는 결제 됐는데... 2주일 걸린다고 해 놓곤 몇일씩 고객이 전화 해서 확인 하게 하고 물량 공급이 힘들어 질 경우라면 차후에 팔던가 해야지 일단 팔고 보는 건 아니라 생각이 드네요.. 소비자는 당장 필요해서 샀는데 대처하는 방법도 미흡했고 일단 고객이 불편함을 느꼈다면 어떻게든 처리를 해 줄 맘이 일도 없었던거 갔습니다. 모든 고객들이 언제 배송 되냐고  물으면 고객이 확인 안된다 이런 말만 하고... 안사면 그만 이지만 솔직한 후기를 남기고 싶어서 남깁니다. 차후에 사실 븐들은 참고 하세요.. 기사님들은 친절 했어요
"775,970",평점4,쇼핑엔티,21.11.16.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,생각했던것보다 배송은 빨랐네요(10일 걸렸습니다)유선 청소기만 쓰다가 무선청소기 처음 쓰는데역시 힘은 딸리네요^^;무선이라 편하고 먼지흡입은 생각보다 타워가 다 빨아드리지는 못하네요머리카락같은것은 타워도 못데려가네요장점반 단점반입니다~
"775,970",평점3,CJ온스타일,21.09.15.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,"청소는 주로 남편이 하니까, 제가 청소기 쓸 일은 거의 없긴 한데요, 이것을 주로 쓰게 될 남편이 무겁다고 뭐라 하네요. lg 고객센터에 문의해보니 청소기 본체 무게가 2.7kg라고 하는데, 이 제품이 올해 출시(제조?)된 것이니 옛날 모델도 아닌데...대리점에서 설명들었을때는 이것보다 가벼운 것도 있었던 것 같은데... 여튼 무게감이 좀 아쉽긴 해요. 흡입력은 괜찮은 것 같아요. 다이슨을 살까 lg를 살까 엄청 고민했는데,,, 결과가 조금 아쉽긴 합니다."
"775,970",평점4,신세계TV쇼핑,21.09.20.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,우선 먼지통 비우는 불편함이 없는점이 제일 좋았어요~소음도 생각보다 크지않고 청소기 자체는 무거운편인데 바닥에 대고 하는 일반 청소시엔 무리가 없는데 틈새솔등을 끼우고 짧게 선반등을 청소할땐 손목이 많이 아프네요~물걸레 청소기도 너무 편하고 좋아요~단점이라면 청소기 무게와 올인원타워 먼지비움시 소리가 커서 깜짝 놀랐네요~청소기 먼지통이 깔끔하게 비워지진않아요~머리카락이 꼭 몇가닥씩은 꼭 남아요~ 그래도 써본 느낌은 장점이 더 많은 청소기네요~
"775,970",평점5,롯데홈쇼핑,21.10.13.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,예전 청소기는 먼지를 비우면 또 날려서 다시 청소해야하는 번거러움이 있는데 그런 귀찮은 작업을 이제 안해도 되고 그리고 이 먼지를 모아주는 먼지봉투가 쌓인 먼지의 세균 증식까지 억제하는 위생적인 역할까지 하니 얼마나 신경써서 만들었는지 느껴지더라구요. 먼지가 가득 쌓이면 교체해라고 알아서 알려주니 일일이 확인할 필요도 없어서 정말 편리하네요
"775,970",평점4,G마켓,21.11.29.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,"고민고민하다가 엘지코드제로 이번에 나온 올인원테워로 질렀습니다. 폭품 검색으로 지마켓이 가장 저렴하여 매장보다 저렴하게 구매신청, 나중에 댓글보니 배송이 3주 걸린다고 하여 걱정했지만 다행히도 보통 배송으로 2일만에 엘지기사님 담당 정해지고 3일만에 도착했어요ㅋㅋ설명 너무 잘해주시고 제품 테스트까지 아주 만족스러워요~청소해보니 아 이런게 청소이구나!!청소할만 하네요!!강추해요!!!"
"775,970",평점1,신세계TV쇼핑,21.09.07.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,"참나 어이없어서 별 하나도 안주고싶네요,,,배송이 계속 늦길래 전화해보니 한달걸린다고,,,ㅡㅡ,,,나보다 더 몇일 늦게 산사람은 상품평에 4일 걸려서 받았다는데,,,이건 뭔 시츄?본인 지역물류회사 제고로 인해 한달 걸린다고,,,ㅎ농촌도 아니고 하루이틀 차이도 아니고,,,한달하고 4일은 제고 문제가 아니지않나요?  그렇게 말하면 아 그래요? 그럴사람 있나요?? 말이되냐고요! 그럼 한달 걸린다고 하던가 팔지를 말았어야지,,,항의했더니만  3주이상 걸려서 이제서야 설치회사에서 전화오네요,,,그것도 전화 계속해서 받은거고,,,설치하러온다더니 토욜 당일까지 전화도 없고 하루종일 기다리다 항의전화 홈쇼핑에 하니 설치회사랑 연락이안된다고 오늘 안될듯하다고,,,아,,하루종일 기다리다 어디 나가지도 못하고,,,진짜,,부글부글하는데,,,그날 또 취소,,열받아서 민원 담당 전화 주라고 말했는데 알겠다면서 전화도 안옴,,,설치기사님 두시간 후에 갑자기 집앞이라고 전화옴,,,아,, 나왔는데후다닥 또 집에 들어감,,,진짜 하루종일 진짜 너무하네요!!!"
"775,970",평점5,신세계TV쇼핑,21.11.20.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,소음이 크지 않아 좋고 청소시 부드럽게 움직여서 좋고흡입력도 1단계에서도 잘되고 물걸레가 있어 편하고 물이 계속 나와 걸레가 마르지않아 좋고 물통 물 주입구가 2군데 여서  물통 말리기도 좋고 ㅎㅎ 다 좋아요단점은 밧데리 하나인거 일주일은 써봐야 단점을 찾을 것 같아요
"775,970",평점5,롯데홈쇼핑,21.10.13.,LG전자 코드제로 A9S 올인원타워 AS9370IKT,"물걸레 청소기 따로 2번 돌렸는데 동시에 청소가 되니 시간이 반으로 줄었네요. 청소시 전진방향으로 밀어야 진공흡입 깨끗이 되는거만 주의하면 깨끗이 청소 잘 됩니다. 소음 적은편, 다x슨 대비 공기도 깨끗한 느낌. 거치타워 어디든 두고 싶은곳에 놓을수도 있어, 타사 청소기 다 써봤지만 가장 만족하는 중입니다."
