,가격,평점,채널,날짜,제품명,리뷰
0,"69,000",평점4,오아스토어,20.07.07.,2020년형오아 클린스틱 OA-CL010,머리카락 같은거는 정말 잘되구요헌데 방하나 구석구석하고나니 모터가 엄청 뜨거워져서 손이 많이 뜨겁게 느껴졌어요손잡이없이 모터와 일체형으로 잡아서 그런지 이러다가 폭발하지 않을까 싶을 정도로 뜨거웠어요거치대가 있는줄 알았는데 없어서 강력자석으로 냉장고옆에 붙여놨어요평평한 바닥은 잘되는데 조금이라도 쿠션감이 있으면 (카페트같은)앞대가리가 뒤집어지네요그리고 긴봉이 청소하다보면 자꾸 빠져요ㅠㅠ완전 고정시키고 쓸려면 테이프로 붙여서 그냥 막써야될듯..모터부분에 뜨거운바람과 모터가 뜨거워져서 손이 아리는 부분에 좀더 보안이 필요할것같으네요
1,"69,000",평점5,오아스토어,21.02.27.,2020년형오아 클린스틱 OA-CL010,"방을 꾸미면서 카페트를 깔았는데 강아지 털과 먼지가 계속 쌓여서 돌돌이로는 어림도 없더라구요 ㅠㅠ 그냥 청소기를 사자니 금액도 부담스럽고 놓을 자리도 마땅치 않아서 포풍 검색으로 오아 무선 미니 청소기를 봤는데 이거다 싶더라구요!오늘 도착해서 방금 써봤는데 대만족!!!!!!쬐끄맣고 가벼운게 흡입력이 짱이에요.소음은 좀 있는 편이지만 그에 비례해서 먼지가 빨려들어가니까 속이 다 시원합니다 ㅎㅎ거기다 헤드만 돌리면 먼지도 간편하게 비울 수 있고 필터도 씻을 수 있으니 완전 대박임!이렇게 미니멀하고 깔끔한 디자인에 이 성능이라니 진짜 감동입니다😭저처럼 좁은 공간에 사용하시거나 차량용, 카페트용으로 쓰실 분 완전 완전 추천해요!모듀, 오아하세요 :>"
2,"69,000",평점5,오아스토어,21.04.14.,2020년형오아 클린스틱 OA-CL010,흡입력짱입니다. 소음이 좀 있다는 후기가 있었는데 코드제로에 비교하면 비슷하거나 아주 약간 큰?느낌이고 청소기자체가 많아 작아서 소리가 상대적으로 더 크게 들리는탓인것 같습니다.하지만 ?아주 만족쓰요! 1.머리카락 흡입할때 2.구석구석 강아지털 뭉탱이 흡입할때 3.책상위4.창틀5.아무튼 일어서기 귀찮을때쓸려고 구매햇는데 정말 위 5가지 상황에 딱입니다.아가있는 가정에서도 세컨드 청소기가 있으면 유용하다고 하던데 각종 과자부스러기등등 처리할때 진짜 굿일듯해요! 디자인도 예쁘고 하얗고 깔끔하고요!소형청소기 망설이시는분들 여깁니다!!!
3,"69,000",평점5,오아스토어,21.01.06.,2020년형오아 클린스틱 OA-CL010,이번에 이사를 오면서 청소기 구매에 대해서 엄청 고민을 많이 했드래요~큰거는 하나가 있고 핸디 청소기가 기존에 있던게 오래 써서 그런가. 4년정도.  모터가많이 약해진게 느껴져서 서칭을 많이 해봤죠.근데 몇개보지도 않고 이게 너무 눈에 띄이더라구요.. 그래도 여러가지 검토를 하던결과 클린스틱으로 결정을하고받은후에 한달 넘게 써보니 생각보다 힘이 좋드라구요~대신 통이 좀 작아서 한두번쓰면 부지런하게 통을 비워주면 더 깔끔히 잘 쓸수있을거같구 고장도 안날거 같아서 잘쓰고 있답니다^^
4,"69,000",평점5,오아스토어,21.06.04.,2020년형오아 클린스틱 OA-CL010,"매장에서 깊이 들어가있는 필터용 청소기로 사용하려고 주문 했었는데 너무 좋은거있죠 ㅋㅋㅋ그래서 집에서도 침대밑이나 쇼파밑, 티비장 밑에 먼지구덩이 청소하려 또 구매했습니당 역시,,최고입니다 필터 청소하기 편하고 색도 이쁘고 냉장고 틈 사이도 청소가 잘되요! 다만 밀대? 부분이 목이 너무 잘 꺾여서 힘주고 밀지않으면 살짝 떠서 먼지흡입이 덜 될때가있고, 소음이 생각보다 좀 있고, 본체 구멍에서 바람이 많이 나와 구석에 있는 먼지들이 나폴거리고 날아다니는거빼곤 디자인, 편리함, 휴대, 용도까지 너무 좋습니다^_^ 선물용으로도 참 좋을거같아요!"
5,"69,000",평점4,오아스토어,21.07.26.,2020년형오아 클린스틱 OA-CL010,"우선 제품은 콤팩트하고 외관도 무광흰색이어서 인테리어 효과도 주고 좋아요~흡입력은 아무래도 엄청쎄지는 않아서 매일 간편하게 청소하는 용으로 쓰고, 주말에는 메인청소기로 따로 돌리고 있어요. 그래도 웬만한 눈에 띄는 먼지는 깔끔하게 다 흡입해줍니다~다른 분들 말씀하신 것 처럼 헤드는 앞으로 갈때는 문제 없는데, 앞뒤 방향으로 밀 때는 뒷방향으로 움직일 때 자꾸 떠버리는 아쉬움이 있었습니다. 그리고 또 아쉬운거는 버튼 부분에 스티커가 떨어져서 왔어요. 접착제가 제대로 안 발렸었나봐요. 그래도 그것말고는 대체적으로 만족합니다!!!! 이 가격에 좋은 제품 샀어요~"
6,"69,000",평점4,오아스토어,20.08.08.,2020년형오아 클린스틱 OA-CL010,"포장깔끔.배송빠름.3일정도사용후기소음의크기는 좀 있는듯합니다. 머리카락이나 책상 구석진곳 청소용으로 구매한것이므로 만족합니다.흡입구가 작아서 집청소용으로 생각하신다면 안될것같아요. 흡입력은 만족입니다.사이즈 한손에 딱 잡기편해서 청소하기 편하고 책장 옷장안쪽 화장대 구석진곳 피아노등등 먼지쌓인곳 여기저기 들고 다니며 청소 잘했습니다구지 강으로 하지않아도 괜찮은데 창틀안쪽은 강모드로 흡입하니 완전 깔끔!!한가지단점 자꾸 흡입구쪽에 끼워서 쓰는 브러쉬가 빠져요.전 1,2단 봉을 연결안하고 브러쉬를 바로 본체에 끼워서 쓰는데 그래서 그런건가요??그래서 별한개 뺍니다😅"
7,"69,000",평점5,오아스토어,20.07.14.,2020년형오아 클린스틱 OA-CL010,"작지만 강력한 흡입력을 가진 오아클린스틱청소기. 직접사용해보니까 너무 좋네요. 유선 청소기를 사용하고있었는데 자리도 많이 차지하고 흡입력도 안좋아서 항상 불편했거든요. 무겁지 않은 슬림하고 가벼운 512g 에다가 무선이라도 빠른 충전이 사용하는데 너무 편했습니다.특히 슬림하게 잘 빠져서 작은 틈새, 청소하기 어려운 곳을 흡입하기 좋았어요. 안쓸때는 간편하게 보관하기 좋게 사이즈도 안성맞춤이고 디자인이 너무 괜찮아서 인테리어용으로 둬도 이쁜거같아요. 뭔가 큰 청소기 쓰다가 기능도 좋은 오아클린스틱 청소기 사용하니 마음에 더 쏙 듭니다. 미니멀리스트인 제 동생도 오아클린스틱 청소기 사용해보고 맘에들어하네요. 자리차지 별로 안하고 너무 좋아요. 혼자 사는 분들에게 추천해요"
8,"69,000",평점5,오아스토어,21.04.21.,2020년형오아 클린스틱 OA-CL010,받아보니 꽤 좋아요~~ 바닥 미는건 좀 더 크면 청소하는 재미가 더 있을듯 하네요 크기가 상세설명엔 나오지 않아서 여자 손 한뼘정도 ㅎㅎ 밀어보니 소리는 일반 청소기 정도 힘도 괜찮아요~~  작은 먼지도 잘 빨려요~~친정엄마 허리 수술하시고 엎드려서 청소 힘드시고 너무 무거운건 피하셔야해서... 가벼운걸 찾다가 여기까지 왔는데 잠시 불량 확인하느라 사용해보니 가볍고 잘 밀리고 흡입력도 크기에 비해서 굉장히 우수한편이네요만족합니다~~  나중에 초등생 딸아이 스스로 청소하기용으로 하나 더 구매의사 있어요~~^^
9,"69,000",평점5,오아스토어,20.09.19.,2020년형오아 클린스틱 OA-CL010,소리가 여태쓰던 핸디형보다 하이톤으로 시끄럽고 먼지통용량이 적긴한데 그외부분이 최고라서 넘좋네요ㅎ 헤드가작아서 좁은곳이나 깊숙한 바닥구석구석청소하기가 너무좋고 흡입력도 작은크기에비해 완전좋아요 공간차지덜하고 인테리어적으로도 좋네요^^ 평소엔 연장관뺀채로쓰고 대청소할때마다 꼽아쓰기에도 넘 편하게끔 적당한고정력이예요^^ 소음이 조금만 작았으면하지만 그러면 흡입력이 딸릴테니 감안해야죠^^ 1단만해도 왠만한건다 흡입되요 충전시간도 오래안걸리고 사길잘한것같아요~
