,가격,평점,채널,날짜,제품명,리뷰
0,"309,000",평점5,쿠쿠홈시스생활가전,21.10.02.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,청소기 잘 샀네요~~~~
1,"309,000",평점5,쿠쿠온라인공식판매점,20.09.17.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,빠른배송 쵝오에요~
2,"309,000",평점5,쿠쿠넬로,21.03.02.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,다이슨 보다 좋아요
3,"309,000",평점3,주식회사 원어나더,21.05.24.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,가성비 좋은 청소기
4,"309,000",평점2,옥션,21.02.20.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,"플라스틱 사출 상태가 좋지 않고, 충전기 잭 연결쪽이 조금 뛰어 나와서 품질에 좀신경 쓰셨으면 합니다.사용상에는 지장없으나 사출쪽은 더 신경 쓰셨으면합니다."
5,"309,000",평점5,쿠쿠온라인공식판매점,21.03.10.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,잘 쓰고 있습니다/
6,"309,000",평점5,쿠쿠홈가전,22.01.04.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,좋네요.. 잘쓸께요
7,"309,000",평점5,옥션,21.08.01.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,마음에들어요~!~~!
8,"309,000",평점3,롯데ON,21.05.11.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,너무 무겁다는...
9,"309,000",평점5,옥션,20.12.06.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,아주좋아요~~
10,"309,000",평점4,쿠쿠온라인공식판매점,20.12.14.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,무선이니 사용시 코드 처리 없이 바로바로 기능하니 편리하네요~
11,"309,000",평점5,G마켓,21.07.14.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,착한가격에 무선 청소기 구입했네요.  가성비 좋은 제품이네요.
12,"309,000",평점5,옥션,20.09.18.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,배송받자마자 침구청소해봤어요~침구가 안 밀리고 청소 참 잘 되네요~너무 좋아요~강추~
13,"309,000",평점4,옥션,21.09.24.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,포장도 2중으로 튼튼하게 잘되어서 왔습니다.  그립감도 좋고  청소기  흡입력도  만족합니다.     청소시 최대로 할 필요가 없습니다. 좋습니다.
14,"309,000",평점5,옥션,20.10.03.,쿠쿠홈시스 쿠쿠 CVC-A1410UG,너무 가볍고 흡입력 짱 입니다~   침대청소하기도참 용의합니다~  잘 쓸거같습니다~
