가격,평점,채널,날짜,제품명,리뷰
"178,600",평점4,11번가,21.10.13.,2020년형테팔 엑스퍼트3.60 TY6933,"무선청소기 넘 갖고 싶었는데 가격 부담없는 테팔로 구매했어요. 사용 후 장,단점을 남겨봅니다. 1. 배송 엄청 빠릅니다. 2. 할인해서 10만원 이하의 가격으로 구매했는데 가격이 넘 매력적이고 가성비 짱입니다. 3. 흡입력도 좋고 충전만 되어 있음 언제든지 가져다 청소할 수 있어 사용이 편리합니다. 4. 체중이 45kg인데 무게감은 조금 있으나 많이 무겁거나 버겁진 않습니다. 5. 소음은 흡입력이 2단계로 되어 있어 세게하지 않으면 귀어 거슬릴 정도는 아닙니다.  6. 충전시 시간이 오래 소요되는 단점이 있고 유선보단 흡입구가 날렵하진 않아 낮은공간 청소는 불편하며 흡입구가 고정되지 않아 힘없이 이리저리 움직여 좋은 기능이지만 불편함도 있으며 플라스틱 흡입구라 내구성이 신경 쓰입니다 7. 작동시 나오는 바람은 바로 세우지 않고 몸에서 약간 옆으로 비겨 사용하니 그리 신경쓰이진 않습니다.8. 충전기가 조금 부실하지 않나 생각되긴 하지만 이 가격이면 그정도는 감내할 수 있을 것 같습니다.결론적으로 삼*, L*, 다**무선청소기 써 보진 않았지만 이 가격에 이 정도 성능이라면 테팔청소기 강추합니다."
"178,600",평점3,11번가,21.11.11.,2020년형테팔 엑스퍼트3.60 TY6933,장점: 저렴하게 샀다. 카드 할인까지 받아서 94050에 샀다. 가볍다. 기능이 단순하지만 그래서 만족한다. 흡입력은 아주 좋은 건 아니지만 일반 가정에서 사용하기 괜찮다.  유튜에서 다른 청소기들과 비교하는 걸 봤는데 다른 청소기에 비해 소리가 조용한 편이다. 동영상엔 크게 녹음 됨. 단점:  바람이 얼굴로 온다. 이게 매우매우 큰 단점.    다른 상품평에 옆으로 기울여서 사용하면 괜찮다고 해서 나도 그러려고 했는데 별 소용 없다. 청소하는 동안 청소기가 뿜어내는 바람을 직통으로 마시며 청소해야 한다. 나는 그래서 한 손으로 송풍구를 대충 가리며 청소하지만 짜증난다. 필터가 미세먼지를 얼마나 거를지 의문. 요거트 통이라도 덮어야 하나 고민 중. 스스로 서있지 못하고 벽에 붙은 충전기에 끼울 때만 서 있는다. 아무리 봐도 99천원 이하가 적정 가격인 거 같음. ;;;;
"178,600",평점3,테팔,21.09.10.,2020년형테팔 엑스퍼트3.60 TY6933,"장점-가격이 저렴, 배터리 잔량표시됨, 무게가 가볍다.단점-공기청정기나 선풍기인줄..... 얼굴로 먼지거른 바람이 직빵으로 온다. 쎄게온다.힘이 약하다.현재 집에 무선 청소기 3개 사용 중.테팔꺼도 최근에 산거 있는데...이건 가격에 딱 맞는 청소기임.마스크랑 보호안경 쓰고 청소해야 함.무선청소기 여러개 사용중이고 브랜드별로 다 사용해봤지만얼굴로 바람 나오는 제품은 처음 봄.생각이 조금 짧았던 제품.반품 귀찮아서 다른제품 고장나면 사용하려고 충전중.배송은 빨랐음"
"178,600",평점5,11번가,21.10.06.,2020년형테팔 엑스퍼트3.60 TY6933,"배송은 일단 빨랐습니다. 포장상태도 만족하구요.벽에 고정시켜서 청소기를 거치도 할 수 있고 다른 악세사리도 같이 거칠 할 수 있는 것도 좋았습니다.소리는 조용하다고 할 수 없지만, 시끄럽지 않은 편으로 보통 정도 되는거 같네요. 흡입력은 만족합니다. 확실히 소형무선청소기에 비해서는 흡입력이 훨씬 좋구요 일반 유선청소기에 80~90%에 가까운 성능을 보여주는거 같습니다. 러그 위나 카페트 위를 지나갈때 잘 빨아들이네요. 다만 단점이라면 배터리 충전속도가 느립니다. 핸드폰 고속충전이 되는게 보편화되다보니 이런 점들이 불편하게 느껴지네요. 그래도 가격보다 훨씬 좋은 성능과 무겁지 않은 무게감, 테팔이라는 브랜드 이미지... 이렇게 장점으로 볼 수 있겠네요.^^"
"178,600",평점5,11번가,21.04.07.,2020년형테팔 엑스퍼트3.60 TY6933,"6년동안 사용했던 삼성 무선청소기가 갑자기 고장이 나서 급하게 찾아보다가 저렴한 가격에 나와서 바로 구매했어요! 사실 십만원도 안되게 사서 많이 기대 안했는데... 진짜 생각보다 좋아요! 쓸데없어 보였던 빛이 생각보다 먼지 자세히 청소하는데 도움이 되네요. 쓱쓱 청소기 밀어도 잘 청소되고요 소리는 우리가 생각하는 청소기들의 소음보다 적은 편이라 맘에 들어요. 아쉬운 점은 얼굴로 바람이 온다는 건데... 리뷰보고 알고서 산거지만 이게 의외로 신경이 많이 쓰이네요. 먼지바람이 내 얼굴로 직빵으로 오는듯한 느낌?ㅋㅋㅋ 그리고 먼지통이 투명해서 먼지들이 다 보이는게 좀 아쉽긴 하네요. 배터리 충전하는게 좀 부실해 보이고, 저희 집은 벽에 구멍 뚫는거 안좋아해서 그냥 놓고 충전하는데 그러다 보니 깔끔해보이지가 않네요. 하지만 청소기 자체로서의 기능은 가격대비 최곱니다!"
"178,600",평점4,11번가,21.11.12.,2020년형테팔 엑스퍼트3.60 TY6933,11절 딜로 99000원으로 구매했습니다 장점은 무선이여서 편하고 모터세기가 쎈거 같습니다 조립도 생각보다 편해서 여자들도 쉽게 조립 가능할 거 같습니다단점은 바람이 얼굴로 나오는점 거치대가 허술해서 요즘 못질 못하는 집에서는 설치하기 난감할 거 같습니다 못도 안들어있고요 그리고 길이조절을 할 수 없고 직접 헤드와 봉을 빼서 길이 조절을 해야 한다는 점 입니다그래도 가격적인 면을 생각한다면 튼튼하고 디자인도 깔끔하고 안에 필터도 분리되어서 나중에 세척도 편리 할 거같습니다~ 가성비 제품입니다 ㅎㅎ
"178,600",평점1,11번가,21.12.21.,2020년형테팔 엑스퍼트3.60 TY6933,청소기 제대로된것 사고싶어서 고루고 고ㅡ른게 데팔청소기다단점: 1.청소기를 가동시키면 얼굴로 먼지가 올 라온다(기분 더럽다)2.청소기필터 빼기가 너무힘들고 어렵다청호기 필터뺄때마다 욕나온다도대체 왜 이따구로 만들었을까?필터 교환이 가능한지도 모르겠다귀찮아서 청소기 돌리기가 싫다중국산 저렴한것도 써봤는데 오히려 저렴이가 낫다데팔청소기  최악이다
"178,600",평점5,11번가,21.10.06.,2020년형테팔 엑스퍼트3.60 TY6933,"무선이라 그런지 유선대비 힘이 약하긴하지만 청소 잘되네요. 핸들부분에 모터가있어 살짝 묵직하긴한데 흡입구 부분이 컨트롤 잘되서 청소하기 힘들지 않았어요. 단, 충전하고 '강' 으로 15분정도 청소했더니 배터리가 나가더라구요. 충전 다시하고 나머지 청소했는데 평소보다 청소속도를 올려야겠다 싶어요. 소음은 살짝 크긴한데 다른 무선청소기랑 비슷한 정도이고 다른리뷰에서 언급된것처람 바람이 얼굴로 오는거랑 홀딩하기 힘든게 단점이긴해요. 그래도 저렴한 가격에 구입했으니 가격대비 나쁘지않은거 같아요."
"178,600",평점5,11번가,21.11.11.,2020년형테팔 엑스퍼트3.60 TY6933,일단 무선을 10만원도 안되는 가격에 사서 만족해요 써보니 유선보단 해드가 무거운게 좀 아쉬워요 근데 쓸때마다 일일이 선을 꽂지않아도 되니까 쉽게 쓰기 너무 좋아요 흡입력도 나름 괜찬구요 근데 흡입판이 작은 솔같은게 달려서 구르면서 빨아들이네요 그러다보니까 긴머리 카락은 돌돌 감기는게 많아서 한번씩 빼줘야하는게 좀번거롭네요 다른건 걍 쓸만해요
"178,600",평점1,테팔,21.11.22.,2020년형테팔 엑스퍼트3.60 TY6933,청소기 공기순환이 위로 나오는 경우도 있네요.청소기가 아니고 쓰레기를 샀어요.ㅠㅠ청소하는 내내 바람이 얼굴을 강타..테팔은 청소기 왜 만들죠?후라이팬 기술자가 청소기까지 만드나요?다른제품들 사세요..구매는 먼지바람이 좋으신분들만 사는걸로..
